Year,State,HAI,Facility_ID,Facility_Name,County,Hospital_Category_RiskAdjustment,Hospital_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,"On_Track_Toward_2020_Goal (0.70, 2018)",SIR_2015,Months,Notes
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000071,"Kaiser Foundation Hospital, South Bay",Los Angeles,Acute Care Hospital,Community (>250 Beds),2,1.97,49490,1.02,0.17,3.36,Same,No,1.38,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000076,"Kaiser Foundation Hospital, West LA",Los Angeles,Acute Care Hospital,Community (125-250 Beds),1,1.80,41934,0.56,0.03,2.75,Same,Yes,0.00,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000290,"Kaiser Foundation Hospital, Woodland Hills",Los Angeles,Acute Care Hospital,Community (>250 Beds),3,1.68,38330,1.78,0.45,4.85,Same,No,0.97,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000912,Keck Hospital of USC,Los Angeles,Acute Care Hospital,Major Teaching,1,5.31,82983,0.19,0.01,0.93,Better,Yes,0.46,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000027,LAC/Harbor UCLA Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,8,6.42,87184,1.25,0.58,2.37,Same,No,0.67,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000038,LAC/Olive View UCLA Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,5,4.16,52431,1.20,0.44,2.67,Same,No,1.73,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000028,LAC/Rancho Los Amigos National Rehabilitation Center,Los Angeles,Acute Care Hospital,Community (125-250 Beds),0,0.82,19387,0.00,0.00,4.51,Same,Yes,0.63,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000040,LAC+USC Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,14,15.66,169373,0.89,0.51,1.46,Same,No,1.92,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000047,Lakewood Regional Medical Center,Los Angeles,Acute Care Hospital,Community (125-250 Beds),3,2.23,40369,1.35,0.34,3.67,Same,No,1.69,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000085,Los Angeles Community Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),1,0.78,27589,1.29,0.03,7.19,Same,No,2.61,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000035,Martin Luther King Jr. Community Hospital,Los Angeles,Acute Care Hospital,Community (125-250 Beds),1,1.17,40012,0.86,0.04,4.23,Same,No,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000092,Memorial Hospital of Gardena,Los Angeles,Acute Care Hospital,Community (<125 Beds),1,1.06,24595,0.94,0.05,4.65,Same,No,4.14,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000095,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,6,5.61,95975,1.07,0.43,2.23,Same,No,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930001709,MemorialCare Miller Children's & Women's Hospital Long Beach,Los Angeles,Acute Care Hospital,Pediatric,3,1.87,64997,1.61,0.41,4.37,Same,No,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000096,Methodist Hospital of Southern California,Los Angeles,Acute Care Hospital,Community (>250 Beds),0,4.16,69303,0.00,0.00,0.72,Better,Yes,0.31,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000158,Miracle Mile Medical Center,Los Angeles,Acute Care Hospital,Community (<125 Beds),0,0.01,348,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000027,Mission Community Hospital,Los Angeles,Acute Care Hospital,Community (125-250 Beds),2,2.68,44713,0.75,0.13,2.47,Same,No,0.88,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000108,Monterey Park Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),3,0.53,19898,5.64,1.16,16.47,Worse,No,3.84,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000111,Northridge Hospital Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,6,3.43,51298,1.75,0.71,3.64,Same,No,0.00,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000112,Norwalk Community Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),1,0.45,14477,2.21,0.06,12.32,Same,No,,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000105,Olympia Medical Center,Los Angeles,Acute Care Hospital,Community (125-250 Beds),6,1.21,23436,4.96,2.01,10.31,Worse,No,2.03,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000133,Pacifica Hospital of the Valley,Los Angeles,Acute Care Hospital,Community (125-250 Beds),0,0.91,18199,0.00,0.00,4.04,Same,Yes,2.02,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000077,Palmdale Regional Medical Center,Los Angeles,Acute Care Hospital,Community (125-250 Beds),1,1.14,33803,0.87,0.04,4.31,Same,No,3.22,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000052,"PIH Health Hospital, Downey",Los Angeles,Acute Care Hospital,Major Teaching,0,1.66,29223,0.00,0.00,1.81,Same,Yes,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000099,"PIH Health Hospital, Whittier",Los Angeles,Acute Care Hospital,Community (>250 Beds),3,4.43,81051,0.68,0.17,1.84,Same,Yes,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000123,Pomona Valley Hospital Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,7,6.03,99876,1.16,0.51,2.30,Same,No,1.70,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000066,Providence Holy Cross Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),6,4.53,79599,1.32,0.54,2.75,Same,No,0.24,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000157,Providence Little Company of Mary Medical Center San Pedro,Los Angeles,Acute Care Hospital,Community (>250 Beds),0,1.04,21537,0.00,0.00,2.87,Same,Yes,0.00,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000081,Providence Little Company of Mary Medical Center Torrance,Los Angeles,Acute Care Hospital,Community (>250 Beds),0,3.27,74694,0.00,0.00,0.92,Better,Yes,0.81,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000100,Providence Saint John's Health Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),1,1.89,61334,0.53,0.03,2.60,Same,Yes,1.03,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000101,Providence Saint Joseph Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),5,6.30,81508,0.79,0.29,1.76,Same,No,1.23,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000091,Providence Tarzana Medical Center,Los Angeles,Acute Care Hospital,Community (125-250 Beds),2,3.12,59583,0.64,0.11,2.12,Same,Yes,3.62,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000162,Ronald Reagan UCLA Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,9,10.09,149733,0.89,0.44,1.64,Same,No,1.57,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000128,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),7,8.05,110466,0.87,0.38,1.72,Same,No,0.99,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000104,Saint Vincent Medical Center,Los Angeles,Acute Care Hospital,Community (125-250 Beds),3,3.25,51694,0.92,0.24,2.52,Same,No,1.00,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000125,San Dimas Community Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),1,0.45,13400,2.24,0.06,12.47,Same,No,1.49,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000041,San Gabriel Valley Medical Center,Los Angeles,Acute Care Hospital,Community (125-250 Beds),0,2.13,42784,0.00,0.00,1.40,Same,Yes,0.46,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000049,Santa Monica - UCLA Medical Center and Orthopaedic Hospital,Los Angeles,Acute Care Hospital,Major Teaching,4,3.36,83230,1.19,0.38,2.87,Same,No,0.17,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000140,Sherman Oaks Hospital,Los Angeles,Acute Care Hospital,Community (125-250 Beds),2,0.73,22105,2.75,0.33,9.92,Same,No,0.51,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000035,Silver Lake Medical Center,Los Angeles,Acute Care Hospital,Community (<125 Beds),1,0.67,15382,1.49,0.04,8.29,Same,No,0.00,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000015,Southern California Hospital at Culver City,Los Angeles,Acute Care Hospital,Community (>250 Beds),2,1.50,36578,1.33,0.22,4.40,Same,No,2.69,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000064,Southern California Hospital at Hollywood,Los Angeles,Acute Care Hospital,Community (<125 Beds),0,1.05,23060,0.00,0.00,2.86,Same,Yes,8.75,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000103,"St. Mary Medical Center, Long Beach",Los Angeles,Acute Care Hospital,Community (>250 Beds),4,3.40,56132,1.18,0.37,2.83,Same,No,0.72,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000127,Torrance Memorial Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),10,3.65,98824,2.74,1.39,4.88,Worse,No,0.60,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000163,USC Kenneth Norris Jr. Cancer Hospital,Los Angeles,Acute Care Hospital,Major Teaching,1,1.72,14940,0.58,0.03,2.86,Same,Yes,2.10,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000187,USC Verdugo Hills Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),0,0.72,18719,0.00,0.00,5.12,Same,Yes,1.27,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000129,Valley Presbyterian Hospital,Los Angeles,Acute Care Hospital,Community (>250 Beds),4,3.97,67132,1.01,0.32,2.43,Same,No,1.75,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000188,West Covina Medical Center,Los Angeles,Acute Care Hospital,Community (<125 Beds),0,0.03,1884,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000028,West Hills Hospital & Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),3,2.47,42494,1.21,0.31,3.31,Same,No,0.00,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000151,Whittier Hospital Medical Center,Los Angeles,Acute Care Hospital,Community (125-250 Beds),0,1.06,28170,0.00,0.00,2.83,Same,Yes,1.55,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000013,Catalina Island Medical Center,Los Angeles,Critical Access Hospital,Critical Access,0,0.01,399,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000014,Barlow Respiratory Hospital,Los Angeles,Long-term Acute Care Hospital,LTAC,3,5.25,28818,0.57,0.15,1.55,Same,Yes,0.24,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000144,"Kindred Hospital, Baldwin Park",Los Angeles,Long-term Acute Care Hospital,LTAC,6,2.84,22924,2.12,0.86,4.40,Same,No,0.82,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000089,"Kindred Hospital, La Mirada",Los Angeles,Long-term Acute Care Hospital,LTAC,1,1.85,16298,0.54,0.03,2.67,Same,Yes,1.51,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000088,"Kindred Hospital, Los Angeles",Los Angeles,Long-term Acute Care Hospital,LTAC,19,4.18,28483,4.54,2.82,6.96,Worse,No,3.43,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000042,"Kindred Hospital, San Gabriel Valley",Los Angeles,Long-term Acute Care Hospital,LTAC,5,2.49,20135,2.01,0.74,4.46,Same,No,2.47,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000039,"Kindred Hospital, South Bay",Los Angeles,Long-term Acute Care Hospital,LTAC,3,2.15,17595,1.40,0.36,3.81,Same,No,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000107,Monrovia Memorial Hospital,Los Angeles,Long-term Acute Care Hospital,LTAC,1,1.06,10288,0.94,0.05,4.64,Same,No,0.82,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000033,"Promise Hospital of East Los Angeles, Suburban Campus",Los Angeles,Long-term Acute Care Hospital,LTAC,4,6.25,34235,0.64,0.20,1.54,Same,Yes,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000059,"Adventist Health Glendale, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.13,7022,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000191,"Adventist Health White Memorial, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.06,2973,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005,"Alhambra Hospital Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.06,3310,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000031,California Rehabilitation Institute,Los Angeles,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,0,0.72,37662,0.00,0.00,5.15,Same,Yes,,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020,Casa Colina Hospital,Los Angeles,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,0,0.42,21866,0.00,0.00,8.87,Same,Yes,0.00,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022,"Centinela Hospital Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.06,3259,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000132,"Emanate Health Queen of the Valley Hospital, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.07,3603,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000054,"Encino Hospital Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.07,3573,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000058,"Garfield Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.11,6041,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000093,"Glendale Memorial Hospital and Health Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.06,3378,,,,,,,11,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000068,"Good Samaritan Hospital, Los Angeles, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,0.02,968,,,,,,,4,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000063,"Henry Mayo Newhall Hospital, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.04,1957,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000065,"Hollywood Presbyterian Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,0.09,4539,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000026,"Huntington Memorial Hospital, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.09,4797,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000912,"Keck Hospital of USC, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.11,5748,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000028,"LAC/Rancho Los Amigos National Rehabilitation Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.43,22491,0.00,0.00,8.63,Same,Yes,2.13,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000095,"MemorialCare Long Beach Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.14,7135,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000096,"Methodist Hospital of Southern California, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.15,7963,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000111,"Northridge Hospital Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,0.12,6292,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000077,"Palmdale Regional Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.07,3645,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000099,"PIH Health Hospital, Whittier, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.05,2518,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000066,"Providence Holy Cross Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.05,2656,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000157,"Providence Little Company of Mary Medical Center San Pedro, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.09,4703,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000101,"Providence Saint Joseph Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.30,15807,0.00,0.00,12.27,Same,Yes,,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000104,"Saint Vincent Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.09,4901,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000015,"Southern California Hospital at Culver City, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.08,4217,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000103,"St. Mary Medical Center, Long Beach, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.09,4856,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000129,"Valley Presbyterian Hospital, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.06,3131,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000111,Madera Community Hospital,Madera,Acute Care Hospital,Community (<125 Beds),1,0.64,16212,1.55,0.04,8.65,Same,No,0.00,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000129,Valley Children's Hospital,Madera,Acute Care Hospital,Pediatric,1,2.24,71054,0.45,0.02,2.20,Same,Yes,1.63,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000944,"Kaiser Foundation Hospital, San Rafael",Marin,Acute Care Hospital,Community (<125 Beds),0,0.64,19338,0.00,0.00,5.73,Same,Yes,1.67,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000953,Marin General Hospital,Marin,Acute Care Hospital,Community (125-250 Beds),1,1.88,39857,0.53,0.03,2.63,Same,Yes,0.00,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000982,Novato Community Hospital,Marin,Acute Care Hospital,Community (<125 Beds),0,0.28,6847,0.00,0.00,13.38,Same,Yes,,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000946,Kentfield Hospital,Marin,Long-term Acute Care Hospital,LTAC,4,2.05,16192,1.96,0.62,4.72,Same,No,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000105,John C. Fremont Healthcare District,Mariposa,Critical Access Hospital,Critical Access,0,0.10,4618,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000070,Adventist Health Ukiah Valley,Mendocino,Acute Care Hospital,Community (<125 Beds),0,0.56,13492,0.00,0.00,6.55,Same,Yes,,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000008,Adventist Health Howard Memorial,Mendocino,Critical Access Hospital,Critical Access,0,0.15,7247,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000023,Mendocino Coast District Hospital,Mendocino,Critical Access Hospital,Critical Access,0,0.08,3932,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000110,Memorial Hospital Los Banos,Merced,Acute Care Hospital,Community (<125 Beds),0,0.12,5920,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000113,Mercy Medical Center,Merced,Acute Care Hospital,Community (125-250 Beds),2,1.86,51989,1.08,0.18,3.55,Same,No,0.55,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000011,Modoc Medical Center,Modoc,Critical Access Hospital,Critical Access,0,0.00,203,,,,,,,11,"Incomplete Reporter, interpret with caution"
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000021,Surprise Valley Community Hospital,Modoc,Critical Access Hospital,Critical Access,0,0.00,26,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000005,Mammoth Hospital,Mono,Critical Access Hospital,Critical Access,0,0.04,2038,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),070000137,Community Hospital of The Monterey Peninsula,Monterey,Acute Care Hospital,Community (>250 Beds),0,1.73,53289,0.00,0.00,1.73,Same,Yes,1.62,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),070000141,George L. Mee Memorial Hospital,Monterey,Acute Care Hospital,Community (<125 Beds),0,0.43,18222,0.00,0.00,8.64,Same,Yes,0.00,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),070000145,Natividad Medical Center,Monterey,Acute Care Hospital,Major Teaching,2,1.72,35511,1.17,0.20,3.85,Same,No,0.61,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),070000147,Salinas Valley Memorial Hospital,Monterey,Acute Care Hospital,Community (>250 Beds),2,1.86,46915,1.07,0.18,3.54,Same,No,0.43,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),070000137,"Community Hospital of The Monterey Peninsula, Rehabilitation Unit",Monterey,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.06,3259,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),070000145,"Natividad Medical Center, Rehabilitation Unit",Monterey,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.15,8015,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000058,Adventist Health St. Helena,Napa,Acute Care Hospital,Community (125-250 Beds),3,0.59,16568,5.05,1.04,14.76,Worse,No,,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000041,Queen of the Valley Medical Center,Napa,Acute Care Hospital,Community (125-250 Beds),1,1.45,31558,0.69,0.03,3.40,Same,Yes,0.00,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000041,"Queen of the Valley Medical Center, Rehabilitation Unit",Napa,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.11,5610,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000262,Sierra Nevada Memorial Hospital,Nevada,Acute Care Hospital,Community (<125 Beds),1,0.94,19772,1.06,0.03,5.90,Same,No,2.30,12,¥ See Data Dictionary
